PROPERTIES,,TEST METHOD,UNIT,,,
Thickness,,ASTM D374,Micron,8,10,12
,,ASTM D374,Gauge,32,40,48
Yield,,JPFTM,m /kg,89.3,71.4,59.5
,,JPFTM,in /lb,62700,50200,41800
Grammage,,JPFTM,gm/m,11.2,14,16.8
Optical Density,,By Tobias Make Instrument,-,2.8± 6%,2.8± 6%,2.8± 6%
Metal Bond Strength,,JPFTM,g/inch,200,200,200
Tensile Strength,(MD) Min,ASTM D882,kg/cm,2000,2000,2000
,(MD) Min,ASTM D882,psi,28500,28500,28500
,(TD) Min,ASTM D882,kg/cm,1900,1900,1900
,(TD) Min,ASTM D882,psi,27000,27000,27000
Elongation,(MD),ASTM D882,%,90,90,90
,(TD),ASTM D882,%,90,90,90
Coefficient of Friction(Metal to Film),Kinetic,ASTM D1894,-,0.7,0.7,0.7
Shrinkage (150°C/30 min),(MD) Max,ASTM D1204,%,2.8,2.8,2.8
,(TD) Max,ASTM D1204,%,0.4,0.4,0.4
Treatment level (Metal side),,ASTM D2578,Dyne/cm,56,56,56
Water Vapour Transmission Rate,Max,ASTM E398,g/m /day,0.8,0.6,0.6
Oxygen Gas Transmission Rate (23°C,Max,ASTM D3985,cc/m /day,1,0.8,0.8
